FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1100421;FWD;116;HU;-171799.098983289;1322.0984054739;-170477.000577815;01
20260514;1100491;FWD;111;92;-1599100.35025071;0;-1599100.35025071;01
20260514;1100493;FWD;113;94;-52795.0241227565;0;-52795.0241227565;01
20260514;1100495;FWD;114;95;-6807.86900357917;0;-6807.86900357917;01
20260514;1100497;FWD;115;BA;-5786.6886530423;0;-5786.6886530423;01
20260514;1100499;FWD;115;BQ;-425.491812723698;0;-425.491812723698;01
20260514;1100910;FWD;116;DD;-808373.90716165;2765.24032222754;-805608.666839422;01
20260514;1100912;FWD;116;DL;-1940097.37718796;6636.57677334609;-1933460.80041461;01
20260514;1102065;FWD;116;DL;-1095150.10867444;9006.67458853755;-1086143.4340859;01
20260514;1102069;FWD;116;H6;-82136.2581505828;675.500594140316;-81460.7575564425;01
20260514;1102071;FWD;116;M6;-912625.090562032;7505.56215711463;-905119.528404917;01
20260514;1102073;FWD;116;HT;-912625.090562032;7505.56215711463;-905119.528404917;01
20260514;1102075;FWD;116;DI;-547575.054337219;4503.33729426878;-543071.71704295;01
20260514;1102077;FWD;116;MW;-219030.021734888;1801.33491770751;-217228.68681718;01
20260514;1102441;FWD;73;75;-74748.0717895676;0;-74748.0717895676;01
20260514;1102445;FWD;67;92;-12422788.1659473;0;-12422788.1659473;01
20260514;1102449;FWD;68;93;-1534276.24607671;0;-1534276.24607671;01
20260514;1102453;FWD;69;94;-1380539.08355793;0;-1380539.08355793;01
20260514;1102457;FWD;71;BA;-121751.57837058;0;-121751.57837058;01
20260514;1102459;FWD;71;BP;-26867.8906844906;0;-26867.8906844906;01
20260514;1102462;FWD;71;BQ;-11143.3648000192;0;-11143.3648000192;01
20260514;1102709;FWD;188;92;-3929206.13845678;0;-3929206.13845678;01
20260514;1102711;FWD;190;94;-3923379.07108881;0;-3923379.07108881;01
20260514;1103658;FWD;983;94;-3505091.36502151;0;-3505091.36502151;01
20260514;1103662;FWD;166;92;-541206.676528092;0;-541206.676528092;01
20260514;1103666;FWD;167;93;-31744.2448317187;0;-31744.2448317187;01
20260514;1105464;FWD;45;92;-517118.914092653;2458850.30998378;1941731.39589113;01
20260514;1105466;FWD;45;92;-527292.896719934;2427523.57501341;1900230.67829348;01
20260514;1105562;FWD;840;92;-27195704.9143789;943465.894822862;-26252239.019556;01
20260514;1105564;FWD;840;92;-26258235.9065237;1008083.92332329;-25250151.9832004;01
20260514;1105566;FWD;1;92;-784499.838296297;38685.6402025701;-745814.198093727;01
20260514;1105568;FWD;1;92;-201472.422103073;0;-201472.422103073;01
20260514;1105570;FWD;1;92;-293289.179130808;46658.2839951872;-246630.895135621;01
20260514;1105572;FWD;1;92;-256460.090814631;63900.6035359422;-192559.487278689;01
20260514;1105574;FWD;45;92;-18797.0436799551;0;-18797.0436799551;01
20260514;1105576;FWD;45;92;-8673895.56527638;425477.983229221;-8248417.58204716;01
20260514;1105578;FWD;45;92;-32757098.9080716;66782273.751815;34025174.8437434;01
20260514;1105580;FWD;34;92;-35734.0539033851;0;-35734.0539033851;01
20260514;1105586;FWD;34;92;-1887387.40303622;1623157.56393765;-264229.83909857;01
20260514;1105592;FWD;240;92;-85837.7570503124;751.385860072363;-85086.37119024;01
20260514;1105594;FWD;240;92;-241029.964746229;16735.6287432263;-224294.336003003;01
20260514;1105596;FWD;240;92;-441790.158843186;102158.636993057;-339631.521850129;01
20260514;1105598;FWD;240;92;-738818.793121585;304148.646180586;-434670.146940999;01
20260514;1105600;FWD;240;92;-1011344.10304492;525410.855869704;-485933.247175216;01
20260514;1105602;FWD;240;92;-1353020.69688336;964442.847395797;-388577.849487563;01
20260514;1105604;FWD;240;92;-1671242.1405272;1503207.23320656;-168034.90732064;01
20260514;1105606;FWD;240;92;-2113239.62561739;2087122.34893719;-26117.2766802001;01
20260514;1105608;FWD;240;92;-2523776.55415492;2684415.77900588;160639.22485096;01
20260514;1105610;FWD;240;92;-3061398.96833961;3324882.96453989;263483.99620028;01
20260514;1105612;FWD;240;92;-3553543.33449507;3979334.69659304;425791.36209797;01
20260514;1105614;FWD;240;92;-4205729.59194104;4610440.24313847;404710.65119743;01
20260514;1105616;FWD;240;92;-4902912.64637637;5107927.88791476;205015.24153839;01
20260514;1105618;FWD;240;92;-112250365.764662;114668564.454057;2418198.689395;01
20260514;1105624;FWD;240;92;-72210.3152906595;1383.1112160189;-70827.2040746406;01
20260514;1105626;FWD;240;92;-200317.94304834;26656.1719004842;-173661.771147856;01
20260514;1105628;FWD;240;92;-367202.929604143;141569.247874237;-225633.681729906;01
20260514;1105630;FWD;240;92;-618246.287297649;399141.762911234;-219104.524386415;01
20260514;1105632;FWD;240;92;-852864.956005216;672434.246407632;-180430.709597584;01
20260514;1105634;FWD;240;92;-1148076.73388757;1194189.11199098;46112.3781034101;01
20260514;1105636;FWD;240;92;-1422810.09593582;1824341.33803927;401531.24210345;01
20260514;1105638;FWD;240;92;-1808829.75359123;2500107.04630389;691277.29271266;01
20260514;1105640;FWD;240;92;-2164340.55589919;3189398.54586682;1025057.98996763;01
20260514;1105642;FWD;240;92;-2629195.75370685;3927122.4427456;1297926.68903875;01
